order_id,restaurant_id,driver_id,order_datetime,order_date,order_hour,day_of_week,is_weekend,status,num_items,subtotal_lkr,delivery_fee_lkr,discount_lkr,total_lkr,commission_lkr,payment_method,delivery_time_min,cancel_reason,customer_rated,customer_rating
ORD000001,R158,D246,2024-01-01 11:15:00,2024-01-01,11,Monday,0,Delivered,3,6318.78,93.24,0.0,6412.02,1781.9,Card,47.6,,1,
ORD000002,R013,D236,2024-01-01 07:29:00,2024-01-01,7,Monday,0,Cancelled,3,925.45,174.03,37.14,1062.34,188.79,UberCash,,,0,
ORD000003,R069,D277,2024-01-01 12:31:00,2024-01-01,12,Monday,0,Refunded,2,367.97,172.92,0.0,540.89,69.91,Corporate,,Customer cancelled,0,
ORD000004,R066,D206,2024-01-01 17:44:00,2024-01-01,17,Monday,0,Cancelled,3,3676.39,191.74,0.0,3868.13,1095.56,Card,,Restaurant rejected,0,
ORD000005,R151,D140,2024-01-01 13:03:00,2024-01-01,13,Monday,0,Refunded,2,2275.06,95.81,0.0,2370.87,632.47,Corporate,,Driver unavailable,0,
ORD000006,R132,D051,2024-01-01 16:32:00,2024-01-01,16,Monday,0,Delivered,4,1947.29,176.53,0.0,2123.82,523.82,Cash,44.7,,1,
ORD000007,R113,D195,2024-01-01 12:17:00,2024-01-01,12,Monday,0,Delivered,2,3558.94,210.92,75.21,3694.65,1096.15,UberCash,44.0,,1,4.9
ORD000008,R060,D268,2024-01-01 12:16:00,2024-01-01,12,Monday,0,Cancelled,1,693.24,196.63,0.0,889.87,169.15,Card,,Restaurant rejected,0,
ORD000009,R092,D087,2024-01-01 07:15:00,2024-01-01,7,Monday,0,Refunded,4,5382.9,195.12,1066.54,4511.48,1523.36,Corporate,,Timeout,0,
ORD000010,R159,D147,2024-01-01 08:06:00,2024-01-01,8,Monday,0,Delivered,2,1359.19,90.48,0.0,1449.67,304.46,Cash,24.6,,0,4.3
ORD000011,R186,D051,2024-01-01 16:16:00,2024-01-01,16,Monday,0,Cancelled,1,250.5,90.96,0.0,341.46,54.86,Cash,,Customer cancelled,0,
ORD000012,R093,D073,2024-01-01 04:29:00,2024-01-01,4,Monday,0,Delivered,5,3679.1,203.15,0.0,3882.25,974.96,Corporate,28.7,,1,3.4
ORD000013,R078,D265,2024-01-01 20:02:00,2024-01-01,20,Monday,0,Delivered,5,2441.88,130.17,0.0,2572.05,571.4,Card,31.8,,1,3.8
ORD000014,R185,D147,2024-01-01 17:51:00,2024-01-01,17,Monday,0,Delivered,1,1305.43,212.93,0.0,1518.36,386.41,Corporate,36.4,,1,3.6
ORD000015,R076,D107,2024-01-01 03:38:00,2024-01-01,3,Monday,0,Delivered,3,1904.5,248.56,0.0,2153.06,443.75,Cash,40.7,,0,4.3
ORD000016,R075,D031,2024-01-01 19:14:00,2024-01-01,19,Monday,0,Delivered,4,2998.28,222.67,0.0,3220.95,803.54,UberCash,23.0,,0,
ORD000017,R169,D017,2024-01-01 18:22:00,2024-01-01,18,Monday,0,Cancelled,5,7980.48,241.22,0.0,8221.7,2210.59,Corporate,,,0,
ORD000018,R088,D103,2024-01-01 14:05:00,2024-01-01,14,Monday,0,Delivered,5,3087.61,169.5,566.82,2690.29,744.11,Cash,22.8,,1,4.6
ORD000019,R091,D034,2024-01-01 02:37:00,2024-01-01,2,Monday,0,Delivered,2,765.35,223.9,0.0,989.25,152.3,UberCash,42.0,,0,
ORD000020,R168,D061,2024-01-01 12:20:00,2024-01-01,12,Monday,0,Delivered,2,2451.79,154.27,0.0,2606.06,745.34,UberCash,35.1,,1,
ORD000021,R199,D211,2024-01-01 11:37:00,2024-01-01,11,Monday,0,Delivered,4,1065.69,197.04,155.34,1107.39,231.25,Corporate,41.3,,0,
ORD000022,R162,D019,2024-01-01 10:20:00,2024-01-01,10,Monday,0,Cancelled,5,11169.19,176.14,0.0,11345.33,3194.39,Card,,Restaurant rejected,0,
ORD000023,R099,D190,2024-01-01 09:56:00,2024-01-01,9,Monday,0,Refunded,3,2245.02,125.09,30.44,2339.67,538.8,Card,,Customer cancelled,0,
ORD000024,R014,D228,2024-01-01 13:26:00,2024-01-01,13,Monday,0,Refunded,4,10079.82,144.38,0.0,10224.2,3064.27,Corporate,,,0,
ORD000025,R187,D134,2024-01-01 09:04:00,2024-01-01,9,Monday,0,Delivered,1,297.77,134.18,0.0,431.95,54.79,Cash,15.4,,0,3.2
ORD000026,R026,D201,2024-01-01 16:39:00,2024-01-01,16,Monday,0,Cancelled,1,547.72,191.12,0.0,738.84,127.07,Card,,Customer cancelled,0,
ORD000027,R093,D121,2024-01-01 22:26:00,2024-01-01,22,Monday,0,Delivered,5,3375.29,127.86,33.51,3469.64,894.45,Corporate,34.4,,1,3.9
ORD000028,R082,D286,2024-01-01 10:01:00,2024-01-01,10,Monday,0,Delivered,3,1779.45,160.51,279.33,1660.63,409.27,UberCash,28.7,,1,3.4
ORD000029,R110,D219,2024-01-01 10:02:00,2024-01-01,10,Monday,0,Delivered,4,4106.9,222.3,0.0,4329.2,1305.99,Card,25.6,,1,4.1
ORD000030,R168,D135,2024-01-01 15:53:00,2024-01-01,15,Monday,0,Delivered,5,5305.02,171.04,0.0,5476.06,1612.73,Cash,34.8,,1,4.8
ORD000031,R010,D298,2024-01-01 15:33:00,2024-01-01,15,Monday,0,Delivered,5,2208.29,241.37,0.0,2449.66,589.61,Cash,43.5,,0,
ORD000032,R036,D024,2024-01-01 13:43:00,2024-01-01,13,Monday,0,Delivered,2,1988.35,123.84,0.0,2112.19,507.03,Card,45.6,,1,4.1
ORD000033,R077,D273,2024-01-01 21:00:00,2024-01-01,21,Monday,0,Delivered,5,3856.53,212.89,115.42,3954.0,921.71,Card,34.0,,0,3.2
ORD000034,R080,D205,2024-01-01 20:16:00,2024-01-01,20,Monday,0,Delivered,4,4029.49,160.42,324.76,3865.15,1148.4,Corporate,37.8,,1,
ORD000035,R093,D140,2024-01-01 05:30:00,2024-01-01,5,Monday,0,Cancelled,3,1759.14,218.96,0.0,1978.1,466.17,Corporate,,Customer cancelled,0,
ORD000036,R065,D079,2024-01-01 12:47:00,2024-01-01,12,Monday,0,Delivered,3,2059.47,150.85,0.0,2210.32,535.46,Cash,23.0,,0,4.0
ORD000037,R148,D222,2024-01-01 20:32:00,2024-01-01,20,Monday,0,Delivered,1,1842.63,166.16,313.72,1695.07,499.35,Card,55.7,,1,
ORD000038,R058,D033,2024-01-01 11:29:00,2024-01-01,11,Monday,0,Delivered,3,920.1,126.58,0.0,1046.68,184.94,Card,27.8,,0,4.0
ORD000039,R129,D105,2024-01-01 22:30:00,2024-01-01,22,Monday,0,Delivered,3,2546.37,222.4,423.14,2345.63,598.4,Card,21.4,,1,4.1
ORD000040,R061,D131,2024-01-01 17:43:00,2024-01-01,17,Monday,0,Delivered,4,2366.24,226.99,0.0,2593.23,584.46,Corporate,36.1,,0,
ORD000041,R171,D006,2024-01-01 11:38:00,2024-01-01,11,Monday,0,Delivered,3,1101.82,200.59,197.33,1105.08,220.36,Corporate,38.7,,1,4.4
ORD000042,R179,D234,2024-01-01 16:00:00,2024-01-01,16,Monday,0,Delivered,3,507.95,180.94,69.53,619.36,92.45,UberCash,26.0,,0,
ORD000043,R077,D153,2024-01-01 18:57:00,2024-01-01,18,Monday,0,Delivered,2,1234.0,210.13,0.0,1444.13,294.93,Corporate,41.2,,0,
ORD000044,R008,D295,2024-01-01 23:16:00,2024-01-01,23,Monday,0,Cancelled,4,7618.95,86.0,0.0,7704.95,2262.83,Cash,,Driver unavailable,0,
ORD000045,R063,D284,2024-01-01 21:42:00,2024-01-01,21,Monday,0,Delivered,3,3082.44,222.91,0.0,3305.35,767.53,Card,23.8,,1,
ORD000046,R160,D108,2024-01-01 21:57:00,2024-01-01,21,Monday,0,Delivered,1,411.28,117.97,0.0,529.25,95.83,UberCash,27.1,,1,3.9
ORD000047,R034,D280,2024-01-01 06:40:00,2024-01-01,6,Monday,0,Delivered,5,9970.6,231.2,0.0,10201.8,3160.68,Corporate,59.9,,1,4.7
ORD000048,R043,D082,2024-01-01 23:21:00,2024-01-01,23,Monday,0,Delivered,5,7229.25,247.73,1246.89,6230.09,2241.07,Card,27.0,,1,
ORD000049,R051,D187,2024-01-01 17:00:00,2024-01-01,17,Monday,0,Delivered,2,747.84,108.66,0.0,856.5,144.33,Card,27.9,,1,3.9
ORD000050,R123,D285,2024-01-01 12:02:00,2024-01-01,12,Monday,0,Delivered,3,6140.51,231.64,0.0,6372.15,1836.01,Card,42.0,,0,
ORD000051,R070,D134,2024-01-01 18:22:00,2024-01-01,18,Monday,0,Delivered,1,627.32,180.07,103.36,704.03,146.17,UberCash,25.3,,1,4.0
ORD000052,R125,D079,2024-01-01 12:57:00,2024-01-01,12,Monday,0,Delivered,2,394.96,234.17,0.0,629.13,84.92,Cash,12.8,,0,4.5
ORD000053,R168,D300,2024-01-01 09:23:00,2024-01-01,9,Monday,0,Delivered,1,1038.17,188.85,0.0,1227.02,315.6,Card,39.2,,0,
ORD000054,R007,D027,2024-01-01 18:26:00,2024-01-01,18,Monday,0,Delivered,1,483.68,160.65,67.25,577.08,113.18,UberCash,33.4,,1,4.0
