restaurant_id,month,year,commission_rate,avg_item_price_lkr,pricing_tier,category
R001,1,2024,0.271,1387.65,Premium,Rice & Curry
R001,2,2024,0.269,1357.69,Premium,Rice & Curry
R001,3,2024,0.267,1449.97,Premium,Rice & Curry
R001,4,2024,0.283,1431.08,Premium,Rice & Curry
R001,5,2024,0.292,1481.13,Premium,Rice & Curry
R001,6,2024,0.293,1474.94,Premium,Rice & Curry
R001,7,2024,0.282,1538.38,Premium,Rice & Curry
R001,8,2024,0.283,1503.8,Premium,Rice & Curry
R001,9,2024,0.274,1529.18,Premium,Rice & Curry
R001,10,2024,0.27,1508.0,Premium,Rice & Curry
R001,11,2024,0.264,1526.07,Premium,Rice & Curry
R001,12,2024,0.244,1525.98,Premium,Rice & Curry
R002,1,2024,0.173,140.23,Budget,Desserts
R002,2,2024,0.171,199.96,Budget,Desserts
R002,3,2024,0.169,196.45,Budget,Desserts
R002,4,2024,0.154,236.41,Budget,Desserts
R002,5,2024,0.169,266.45,Budget,Desserts
R002,6,2024,0.174,266.88,Budget,Desserts
R002,7,2024,0.194,264.33,Budget,Desserts
R002,8,2024,0.208,306.16,Budget,Desserts
R002,9,2024,0.216,376.2,Budget,Desserts
R002,10,2024,0.22,433.63,Budget,Desserts
R002,11,2024,0.221,396.62,Budget,Desserts
R002,12,2024,0.236,349.96,Budget,Desserts
R003,1,2024,0.272,1601.96,Premium,Desserts
R003,2,2024,0.28,1628.08,Premium,Desserts
R003,3,2024,0.296,1631.85,Premium,Desserts
R003,4,2024,0.287,1649.47,Premium,Desserts
R003,5,2024,0.303,1616.69,Premium,Desserts
R003,6,2024,0.297,1698.88,Premium,Desserts
R003,7,2024,0.285,1734.8,Premium,Desserts
R003,8,2024,0.274,1723.72,Premium,Desserts
R003,9,2024,0.259,1771.05,Premium,Desserts
R003,10,2024,0.252,1810.25,Premium,Desserts
R003,11,2024,0.247,1863.73,Premium,Desserts
R003,12,2024,0.241,1906.55,Premium,Desserts
R004,1,2024,0.241,530.34,Mid-range,Kottu
R004,2,2024,0.237,538.47,Mid-range,Kottu
R004,3,2024,0.219,491.99,Mid-range,Kottu
R004,4,2024,0.236,495.49,Mid-range,Kottu
R004,5,2024,0.227,588.16,Mid-range,Kottu
R004,6,2024,0.243,618.89,Mid-range,Kottu
R004,7,2024,0.233,613.57,Mid-range,Kottu
R004,8,2024,0.229,691.07,Mid-range,Kottu
R004,9,2024,0.245,649.66,Mid-range,Kottu
R004,10,2024,0.232,617.56,Mid-range,Kottu
R004,11,2024,0.235,592.57,Mid-range,Kottu
R004,12,2024,0.252,654.52,Mid-range,Kottu
R005,1,2024,0.259,495.94,Mid-range,Kottu
R005,2,2024,0.252,535.48,Mid-range,Kottu
R005,3,2024,0.244,585.8,Mid-range,Kottu
R005,4,2024,0.251,635.43,Mid-range,Kottu
R005,5,2024,0.242,679.03,Mid-range,Kottu
R005,6,2024,0.25,635.58,Mid-range,Kottu
R005,7,2024,0.246,600.25,Mid-range,Kottu
R005,8,2024,0.234,624.55,Mid-range,Kottu
R005,9,2024,0.245,604.45,Mid-range,Kottu
R005,10,2024,0.23,648.62,Mid-range,Kottu
R005,11,2024,0.217,670.33,Mid-range,Kottu
R005,12,2024,0.197,650.75,Mid-range,Kottu
R006,1,2024,0.303,2377.85,Premium,Indian
R006,2,2024,0.283,2385.41,Premium,Indian
R006,3,2024,0.263,2460.56,Premium,Indian
R006,4,2024,0.261,2483.08,Premium,Indian
R006,5,2024,0.255,2493.53,Premium,Indian
R006,6,2024,0.252,2499.65,Premium,Indian
R006,7,2024,0.242,2489.92,Premium,Indian
R006,8,2024,0.234,2491.71,Premium,Indian
R006,9,2024,0.225,2525.97,Premium,Indian
R006,10,2024,0.227,2487.2,Premium,Indian
R006,11,2024,0.237,2495.42,Premium,Indian
R006,12,2024,0.246,2449.92,Premium,Indian
R007,1,2024,0.237,548.21,Mid-range,Chinese
R007,2,2024,0.222,628.64,Mid-range,Chinese
R007,3,2024,0.231,630.67,Mid-range,Chinese
R007,4,2024,0.23,660.82,Mid-range,Chinese
R007,5,2024,0.25,630.6,Mid-range,Chinese
R007,6,2024,0.234,692.31,Mid-range,Chinese
R007,7,2024,0.228,782.74,Mid-range,Chinese
R007,8,2024,0.217,812.07,Mid-range,Chinese
R007,9,2024,0.221,901.53,Mid-range,Chinese
R007,10,2024,0.217,987.12,Mid-range,Chinese
R007,11,2024,0.213,1052.13,Mid-range,Chinese
R007,12,2024,0.22,1028.99,Mid-range,Chinese
R008,1,2024,0.296,1932.85,Premium,Burgers
R008,2,2024,0.316,1956.81,Premium,Burgers
R008,3,2024,0.327,1946.55,Premium,Burgers
R008,4,2024,0.341,1948.19,Premium,Burgers
R008,5,2024,0.356,1899.6,Premium,Burgers
R008,6,2024,0.345,1971.57,Premium,Burgers
R008,7,2024,0.351,1947.82,Premium,Burgers
R008,8,2024,0.349,1976.87,Premium,Burgers
R008,9,2024,0.351,2049.84,Premium,Burgers
R008,10,2024,0.368,2024.26,Premium,Burgers
R008,11,2024,0.371,1990.49,Premium,Burgers
R008,12,2024,0.382,1947.88,Premium,Burgers
R009,1,2024,0.305,1412.8,Premium,Chinese
R009,2,2024,0.291,1484.6,Premium,Chinese
R009,3,2024,0.289,1509.15,Premium,Chinese
R009,4,2024,0.275,1529.37,Premium,Chinese
R009,5,2024,0.257,1550.48,Premium,Chinese
R009,6,2024,0.27,1641.61,Premium,Chinese
R009,7,2024,0.268,1643.74,Premium,Chinese
R009,8,2024,0.278,1710.02,Premium,Chinese
R009,9,2024,0.287,1717.81,Premium,Chinese
R009,10,2024,0.275,1811.64,Premium,Chinese
R009,11,2024,0.29,1872.58,Premium,Chinese
R009,12,2024,0.29,1864.87,Premium,Chinese
R010,1,2024,0.256,485.77,Mid-range,Kottu
R010,2,2024,0.245,445.16,Mid-range,Kottu
R010,3,2024,0.23,488.48,Mid-range,Kottu
R010,4,2024,0.231,522.18,Mid-range,Kottu
R010,5,2024,0.246,605.6,Mid-range,Kottu
R010,6,2024,0.233,583.95,Mid-range,Kottu
R010,7,2024,0.231,555.75,Mid-range,Kottu
